Corporation Name,Email,Address,Business Turnover (M$),Duration of Business (Years),Past Loan Repayment Rate (%),Loan Default Count,Credit Rating,Previous Loan Interest Rate (%),Loan Tenure Requested (Years),Past Loan ROI (%),Loan Amount Requested (M$),Associated Project ROI (%),Loan Approval Label
Gomez-Noble,baileymichelle@gmail.com,"3337 Scott Circles, Brittanymouth, TX 23058",42.61,5,84.99,1,819,14.33,8,17.36,6.61,20.0,Approved
Madden-Johnson,johnwalker@yahoo.com,"7273 Mckenzie Road, West William, TN 29907",29.34,15,97.19,1,821,3.87,4,24.14,8.62,20.0,Approved
Webb LLC,gchan@sanchez.com,"990 Miller Extensions, North Suzannefort, DE 68913",42.93,10,92.2,0,807,10.92,3,16.37,3.87,20.0,Approved
Simmons-Lee,timothy10@gmail.com,"1658 Smith Estates, Port Adriennemouth, GA 93874",20.67,16,86.05,0,833,6.37,8,21.71,8.26,20.0,Approved
Williams Ltd,nmerritt@brown.com,"534 John Pass Apt. 291, West Brian, MT 57937",31.27,7,80.39,0,811,13.7,3,21.42,9.68,20.0,Approved
"Daugherty, Robinson and Mcconnell",gonzalezrichard@yahoo.com,"5577 Jessica Village, South Alice, KS 20753",36.45,10,93.35,0,824,5.38,3,18.5,2.17,20.0,Approved
"Fernandez, Thomas and Rios",ethanharris@gmail.com,"4244 Duffy Walks, West Robert, MT 12320",22.26,18,96.56,0,826,12.47,8,21.53,3.23,20.0,Approved
Kim Ltd,kingangelica@hotmail.com,"91238 Davis Trace, Lake Maureen, PA 34639",17.02,19,67.91,0,650,6.04,18,24.93,1.25,9.78,Not Approved
Powell-Sanchez,laurenclark@hotmail.com,"71207 Marquez Valley, Hillhaven, AZ 58472",37.84,9,92.41,1,842,4.91,2,16.61,3.65,20.0,Approved
"Roman, Hendrix and Stewart",luis55@gmail.com,"01541 Willie Lock, Lake Alexandershire, MA 18009",34.64,12,96.38,1,820,14.63,9,18.54,8.73,20.0,Approved
"Smith, White and Norman",hendersonmatthew@wallace-roberts.net,"1758 Dennis Alley Apt. 066, Bentleyton, OH 69059",26.87,7,86.45,0,839,3.38,6,20.33,9.53,20.0,Approved
Mckee Inc,ryoung@yahoo.com,"491 Patrick View, North Patrickbury, TX 74596",35.28,6,84.9,0,849,14.89,1,22.09,3.21,20.0,Approved
"Rice, Davis and Price",maryhutchinson@miller.com,"USNV Clark, FPO AP 48253",24.45,17,68.02,2,812,5.32,1,5.78,3.18,20.0,Not Approved
"Hansen, Smith and Smith",fwarner@yahoo.com,"72735 Welch Roads Apt. 760, Cookbury, VT 57194",44.28,14,80.71,0,814,9.84,3,17.07,7.09,20.0,Approved
"Ramirez, Nelson and Acevedo",owalters@wilson.com,"93737 Evans Cliff, Lake Bradley, NV 92884",44.81,11,90.63,0,817,8.17,4,16.98,4.86,20.0,Approved
Vega PLC,sbrown@lewis.com,"9967 Mckay Mall Suite 014, Deniseview, MN 85264",7.96,5,61.06,3,650,7.28,9,11.44,2.75,8.76,Not Approved
Clark LLC,paul85@stephens.com,"908 Jasmine Springs Suite 743, Charlesland, KS 86641",36.39,13,90.56,1,839,13.66,6,15.14,6.79,20.0,Approved
Thomas-Hooper,morenojessica@thompson-kim.com,"21158 Lauren Club Suite 248, New Juliechester, AR 87141",33.09,13,80.33,1,825,5.47,8,20.84,9.67,20.0,Approved
Thomas-Franco,allenjames@reyes-hernandez.biz,"12978 Paul Club Suite 760, Lake Edward, VA 73196",30.34,11,91.62,3,712,10.17,15,16.66,9.29,20.0,Not Approved
Moore-Miller,hesterhoward@hotmail.com,"PSC 6637, Box 8426, APO AP 97581",39.95,5,85.21,0,837,7.18,9,19.58,1.76,20.0,Approved
Jones Group,jturner@garner.net,"9231 Poole Summit Apt. 951, Lake Stevenbury, DC 82415",37.06,4,59.83,3,846,14.93,6,12.36,5.96,20.0,Not Approved
"Reyes, Nguyen and Atkins",karinelson@hernandez.com,"4236 Brian Villages Apt. 984, Weavertown, CA 93061",44.91,14,95.08,1,825,14.32,9,22.53,6.19,20.0,Approved
Harrell PLC,qmiller@gmail.com,"7904 Ronald Harbor, East Mariaborough, ME 67629",24.09,6,84.37,1,826,10.29,10,23.92,8.89,20.0,Approved
Moore-Ramos,brianmartinez@white.info,"857 Steven Stravenue, North Erinberg, OR 86312",48.67,10,88.88,1,827,14.08,7,17.26,9.33,20.0,Approved
Gonzalez and Sons,thompsonbradley@jordan.biz,"6999 Randall Wells Apt. 631, Whiteburgh, RI 41562",25.1,14,94.96,0,822,4.57,3,16.8,8.01,20.0,Approved
Erickson-Barnes,ogarza@gmail.com,"317 Becky Crossroad Suite 691, South Mariachester, IN 80498",39.28,14,82.38,1,814,12.48,1,17.04,4.73,20.0,Approved
Henry-Curtis,melinda03@gmail.com,"3793 Arias Lights Apt. 133, Port Ashleymouth, OR 07303",44.28,7,90.69,1,817,14.24,8,19.47,5.66,20.0,Approved
"Watkins, Hernandez and Yoder",stephanie29@garcia-powell.com,"2046 Lee Pine, Brettchester, NC 82334",46.5,18,92.78,1,830,6.48,10,22.18,7.34,20.0,Approved
Davis Group,hrichmond@hotmail.com,"5204 Laura Rapids, Mooreborough, VT 84796",43.26,4,63.25,3,650,7.16,6,18.7,5.96,16.42,Not Approved
Sawyer PLC,romerorobert@jackson.org,"8487 Fletcher Views, Montoyafort, CO 09140",45.74,7,84.58,1,832,5.61,6,20.81,2.87,20.0,Approved
Lee Group,whitney21@yahoo.com,"7154 Brandon Lake Apt. 924, Schmittmouth, MA 02724",48.74,7,89.71,1,837,11.05,5,17.49,4.57,20.0,Approved
"Hansen, Smith and Smith",fwarner@yahoo.com,"72735 Welch Roads Apt. 760, Cookbury, VT 57194",44.28,14,80.71,0,814,9.84,3,17.07,7.09,20.0,Approved
Young-Salinas,debrabuchanan@jones.org,"94333 Moore Curve Apt. 304, Allisonmouth, OK 93061",22.64,16,81.67,1,806,14.07,4,21.23,3.81,20.0,Approved
Harrison-Keith,thomassmith@gmail.com,"449 Jeanette Fields, Stephanieburgh, AZ 15806",36.96,18,91.68,0,822,8.26,1,23.1,6.82,20.0,Approved
Brock-Zhang,edward20@walls.info,"5660 Ryan Way Suite 054, Arthurside, NJ 50445",40.04,8,82.49,0,804,10.42,5,18.15,3.45,20.0,Approved
"Grimes, Smith and Davidson",matthewtaylor@gibson.net,"87956 Smith Union Apt. 776, Hernandezville, LA 86046",21.06,14,85.8,1,809,9.51,1,17.01,5.56,20.0,Approved
Ross-Simon,walkertyler@hernandez.com,"58639 Ronald Summit, Port Cameronview, TX 49986",37.23,2,84.2,3,658,13.7,8,18.91,9.24,20.0,Not Approved
Cross Ltd,sarah97@parker.com,"601 Barry Place, North Jenniferport, NE 86069",48.26,10,92.15,0,806,10.71,3,23.1,8.55,20.0,Approved
Fisher and Sons,hbuchanan@gmail.com,"62280 Steven Keys Apt. 940, West Ronald, GA 75710",49.66,9,89.17,0,837,10.91,3,19.25,1.82,20.0,Approved
Cross and Sons,scott00@pacheco-quinn.com,"87359 Christopher Centers, Ritterberg, TN 57875",20.09,7,95.49,1,846,14.03,7,20.25,8.29,20.0,Approved
"Lowe, Long and Evans",keith47@esparza-vazquez.org,"12608 Munoz Parkway, New Cynthia, MA 70427",24.93,13,92.38,1,815,5.39,2,16.72,8.77,20.0,Approved
Ryan-Jimenez,maureenjohnson@gmail.com,"2975 Phillip Trail, East Robertside, PA 95256",47.94,6,92.1,1,818,11.85,9,18.96,1.96,20.0,Approved
Whitehead-Brooks,adamsstephanie@wilson.info,"128 Cunningham Expressway Suite 266, West Jennifer, MD 84696",16.04,9,95.78,3,683,5.7,5,22.95,3.37,19.35,Not Approved
"Jackson, Phillips and Nguyen",erinvaldez@fisher-white.info,"84760 Charles Parks Suite 231, Beverlyton, MI 88650",48.08,10,85.43,0,846,14.74,10,23.84,4.33,20.0,Approved
"Lee, Dunn and Webb",kimberly88@yahoo.com,"321 Riggs Shore Suite 068, Hooverburgh, LA 48253",24.07,10,95.24,0,812,12.53,10,20.47,8.13,20.0,Approved
Hall and Sons,crystalpratt@hotmail.com,"58834 Hoffman Plains Suite 083, Sheenaside, FL 22561",44.39,16,91.59,1,845,4.51,8,24.11,9.14,20.0,Approved
Franklin-Francis,millerdarren@gmail.com,"68466 Wilson Row Apt. 615, Wallacefurt, NH 72675",26.6,10,95.48,0,847,7.35,6,22.9,3.89,20.0,Approved
Moore-Miller,hesterhoward@hotmail.com,"PSC 6637, Box 8426, APO AP 97581",24.94,16,93.46,1,845,7.18,8,20.5,4.42,20.0,Approved
Wallace-Miller,bryan40@yahoo.com,"3404 Mendez Freeway Suite 781, North Michaelhaven, NJ 93843",20.42,7,90.9,0,834,6.41,2,23.23,8.02,20.0,Approved
Dean-Williamson,vasquezvictoria@gmail.com,"46713 Bush Mills Suite 598, North David, VA 96107",29.01,16,85.56,0,802,13.64,1,17.37,2.81,20.0,Approved
Lynn Inc,solisgeorge@hotmail.com,"PSC 8502, Box 0423, APO AE 15385",43.0,9,93.57,0,800,7.45,9,20.8,1.24,20.0,Approved
Thomas LLC,hspence@garcia.com,"0133 Weber Fort Apt. 842, West Marymouth, RI 11763",44.51,15,85.45,0,811,6.0,10,19.86,8.15,20.0,Approved
Alvarez-Wyatt,sherribecker@hotmail.com,"6148 Jesus Wells Apt. 565, Jenniferchester, TX 93033",21.67,17,93.01,1,838,6.64,5,17.9,3.59,20.0,Approved
Miller Inc,janet88@willis.net,"03451 Jeffrey Prairie Suite 591, Kathrynfort, NJ 38817",23.18,5,98.31,1,825,13.02,8,17.64,2.92,20.0,Approved
Taylor Group,davidmeyers@yahoo.com,"769 Vicki Mount Apt. 131, Port Chad, CT 12493",30.79,5,89.88,0,804,14.95,6,20.49,8.36,20.0,Approved
Adams and Sons,brettduncan@yahoo.com,"5843 Green Underpass Suite 622, Whiteheadton, NV 19212",49.07,14,89.78,1,650,7.85,9,23.42,9.16,5.12,Not Approved
Rivera-Mccormick,melissashepherd@finley.com,"Unit 9288 Box 4212, DPO AP 91161",14.11,4,92.13,3,650,4.87,13,9.79,5.35,6.25,Not Approved
"Wilkinson, Cook and Lucero",judith77@hotmail.com,"Unit 5367 Box 3899, DPO AA 91953",33.19,10,89.21,0,650,6.14,7,13.97,1.45,20.0,Not Approved
"Pope, Smith and Fletcher",carolinenichols@salinas.info,"653 Kara Spur, South Dana, HI 88824",46.39,10,80.06,1,838,10.16,5,22.47,7.06,20.0,Approved
Bowers-Lee,katherine91@allen.info,"979 Nelson Plaza Suite 284, North Matthewborough, LA 42010",29.27,11,92.78,0,847,9.46,9,20.61,3.4,20.0,Approved
Mack Inc,ksmith@gmail.com,"68996 Sean Wall, Browntown, NE 84175",20.68,5,80.22,0,837,4.83,9,24.21,7.53,20.0,Approved
"Wong, Dominguez and Warren",rperez@rodriguez.com,"381 Melanie Prairie Apt. 388, Lake Maryfurt, NE 43251",45.77,7,84.75,0,826,8.1,1,20.37,2.63,20.0,Approved
Williams-Bennett,zadams@gmail.com,"263 Ortiz Underpass Apt. 685, Florestown, ND 57813",32.77,10,99.41,0,826,8.72,7,24.5,2.67,20.0,Approved
Franklin LLC,jennifer76@yahoo.com,"671 Gonzalez Squares Suite 379, New Mariafurt, ME 90675",39.39,4,62.99,0,681,7.63,17,19.07,4.15,13.35,Not Approved
"Bell, Russell and Gray",hullwilliam@hotmail.com,"0203 Bender Prairie, Johnmouth, IN 60011",30.31,7,96.54,0,806,12.66,10,21.6,7.01,20.0,Approved
Chang Inc,paul06@lucas.com,"060 Bowers Manor Apt. 987, West Anna, AK 96437",21.35,18,85.82,1,803,13.71,11,21.43,4.5,10.89,Not Approved
Singleton-Waller,rdominguez@hotmail.com,"USNV Sullivan, FPO AP 78769",22.59,6,95.76,1,822,5.71,7,17.87,2.8,20.0,Approved
"Ayers, Gonzales and Schroeder",debra28@curtis.net,"594 Chase Camp, Port Emilychester, IA 97029",29.96,13,86.4,0,817,10.77,2,22.91,8.77,20.0,Approved
"Brock, Davis and Robertson",davidjohnson@hale.com,"0835 Torres Bridge, New Deborahstad, NY 44318",35.08,1,97.34,1,650,11.49,3,12.96,3.02,20.0,Not Approved
Walker Group,morganjackson@gmail.com,"6831 James Path, South Amanda, OH 59724",29.03,2,78.0,3,650,8.32,13,6.31,6.54,8.27,Not Approved
"Franklin, Palmer and Gonzalez",iankelly@yahoo.com,"5434 Hannah Lakes, Port Roberttown, TN 79220",37.88,11,98.68,0,841,10.12,5,15.97,2.35,20.0,Approved
Osborn and Sons,fletcheralexander@gmail.com,"54324 Thomas Villages, Samanthafort, OR 33117",22.91,12,75.9,3,650,13.56,17,13.14,7.26,20.0,Not Approved
Hill PLC,emilysutton@hotmail.com,"0515 Green Prairie Apt. 738, West Jessica, SC 69059",24.19,10,85.15,1,809,14.73,1,17.86,2.34,20.0,Approved
"Lee, Dunn and Webb",kimberly88@yahoo.com,"321 Riggs Shore Suite 068, Hooverburgh, LA 48253",27.53,7,87.11,1,824,12.53,3,23.62,6.51,20.0,Approved
Phillips-Washington,ashley92@gmail.com,"8930 Reid Way, South Jamesville, MN 78292",30.87,12,85.04,0,847,8.41,8,23.19,6.66,20.0,Approved
"Harris, Phelps and Watson",jperez@carr.com,"USNV Griffin, FPO AE 20586",44.76,9,83.15,0,841,7.96,7,15.37,2.41,20.0,Approved
"Johnson, Bailey and Horne",stephanie69@yahoo.com,"0256 Christine Brooks, Sherristad, MD 28387",44.54,13,76.15,1,731,10.58,6,16.14,4.18,20.0,Not Approved
Shaw-Meadows,lorettamitchell@sanders-brown.com,"99218 Watkins Underpass, Jamesmouth, VT 54178",45.16,17,84.28,1,832,11.91,2,16.36,2.48,20.0,Approved
"Martin, Rose and Mullins",yangjeremy@hotmail.com,"108 Brewer Rest Apt. 902, Yorkberg, NE 33841",36.3,16,66.67,0,739,3.13,8,21.31,1.13,20.0,Not Approved
"Bell, Russell and Gray",hullwilliam@hotmail.com,"0203 Bender Prairie, Johnmouth, IN 60011",45.82,8,82.92,0,833,12.66,8,24.58,5.75,20.0,Approved
Daniel-Thomas,coreyroy@lucas.com,"031 Snyder Valley Suite 768, Gallegosmouth, GA 64865",49.38,4,93.8,3,650,6.5,6,16.8,3.2,7.35,Not Approved
Jones Group,jturner@garner.net,"9231 Poole Summit Apt. 951, Lake Stevenbury, DC 82415",37.06,4,59.83,3,846,14.93,6,12.36,5.96,20.0,Not Approved
"Jones, Jackson and Allen",lesterderek@gmail.com,"3188 Freeman Road Apt. 794, West Kevin, AR 33179",40.98,13,88.63,3,650,6.22,9,17.35,1.77,20.0,Not Approved
Gomez Group,michael63@hotmail.com,"24660 Smith Estates Suite 771, Andreafurt, NV 85689",25.72,19,93.25,1,824,3.25,2,16.8,5.37,20.0,Approved
Harrison Ltd,sara10@brown.com,"029 Briana Circles, Hardinburgh, NH 68445",37.37,17,86.47,1,840,10.0,10,22.37,3.43,20.0,Approved
"Ortiz, Perez and Thornton",littlejordan@gmail.com,"2506 Jill Stravenue Suite 755, New Curtisburgh, VT 95547",32.76,8,94.83,1,814,10.83,5,24.89,6.41,20.0,Approved
Cooley PLC,hwelch@hotmail.com,"1522 Howard Track Apt. 270, North Gregorymouth, KS 70150",42.57,17,50.86,1,650,5.56,4,15.05,2.74,6.79,Not Approved
Melendez PLC,perezmolly@moore-gomez.net,"1769 Strickland Ways, New Juanton, ID 82238",30.09,8,80.31,1,808,8.58,1,22.17,1.75,20.0,Approved
Williams-Bennett,zadams@gmail.com,"263 Ortiz Underpass Apt. 685, Florestown, ND 57813",42.64,7,85.81,1,849,8.72,7,21.45,9.08,20.0,Approved
Adams and Sons,brettduncan@yahoo.com,"5843 Green Underpass Suite 622, Whiteheadton, NV 19212",49.07,14,89.78,1,650,7.85,9,23.42,9.16,5.12,Not Approved
Navarro-Barnett,teresa34@hernandez.com,"650 Adrian Mountains, West Joshuaborough, IA 84008",41.92,9,91.32,0,838,3.35,10,18.46,5.66,20.0,Approved
"Johnson, Ali and Harrison",wongmatthew@miller-garcia.com,"320 Goodwin Roads, Lake Maryport, MO 94005",28.96,12,50.59,3,693,7.12,1,23.89,8.99,12.06,Not Approved
Smith-King,courtneygriffin@scott.com,"6313 Kevin Crossroad Suite 690, Justinview, NJ 78639",38.85,12,86.89,1,815,3.93,10,19.92,5.7,20.0,Approved
"Marquez, Brown and Garcia",laurakennedy@gmail.com,"0801 Antonio Square, Mauricefurt, WY 49658",34.9,6,89.35,1,812,3.15,2,16.07,8.41,20.0,Approved
Johnson-Carr,hardyandrew@reese.org,"653 Kathryn Trace, Jenniferfort, MN 32955",31.64,12,86.12,0,830,8.64,8,23.41,7.46,20.0,Approved
"Martinez, Howe and Smith",cwells@yahoo.com,"65837 Fisher Neck, South Gerald, DC 13067",23.22,8,99.8,0,830,13.11,5,19.4,9.91,20.0,Approved
Ray and Sons,williamscarl@hotmail.com,"8125 Robyn Mission, Lake Tina, NH 29571",31.32,12,81.99,1,825,7.7,6,18.09,3.83,20.0,Approved
"Jones, Velasquez and Martinez",davidsoncaitlin@yahoo.com,"7602 Valerie Greens Apt. 757, West Michaelshire, WY 65563",26.12,6,59.7,1,738,8.13,9,18.74,1.57,11.07,Not Approved
Cook and Sons,xlogan@rangel.com,"412 Sims Pass, Vanessamouth, ID 58581",28.15,6,83.37,3,650,8.21,7,7.04,1.47,20.0,Not Approved
West PLC,danielrodriguez@gmail.com,"274 Erin Squares Apt. 213, Goodwinport, RI 33550",38.99,7,97.81,0,832,8.98,1,20.71,5.84,20.0,Approved
Smith Ltd,vgonzalez@taylor.com,"7801 Harris Dale Apt. 051, Holmesshire, WA 56470",27.79,5,80.65,2,650,7.75,13,7.4,1.71,6.93,Not Approved
"Martinez, Howe and Smith",cwells@yahoo.com,"65837 Fisher Neck, South Gerald, DC 13067",38.32,16,82.26,0,802,13.11,9,16.89,6.01,20.0,Approved
Smith-Murphy,huntdanielle@morris-johnson.com,"2464 Carr Cliffs Apt. 778, Feliciatown, IN 69717",17.28,13,87.55,0,796,14.49,19,13.67,8.39,20.0,Not Approved
Dominguez-Singh,gjones@santana.com,"8748 Sanchez Drive, West Jacobtown, SC 54308",22.3,18,95.33,0,809,12.68,1,17.5,6.63,20.0,Approved
Wilson-Duran,qburns@gmail.com,"5850 Hardin Squares Apt. 990, Deborahstad, NE 67834",20.81,11,98.02,1,827,5.43,3,22.35,9.43,20.0,Approved
Guzman and Sons,mbridges@davis.com,"8508 Roberts Plaza, North Sherry, OH 02767",45.67,13,90.64,0,822,4.2,6,18.71,9.99,20.0,Approved
Cross and Sons,scott00@pacheco-quinn.com,"87359 Christopher Centers, Ritterberg, TN 57875",37.24,19,89.61,1,813,14.03,2,18.41,7.55,20.0,Approved
Moore-Miller,hesterhoward@hotmail.com,"PSC 6637, Box 8426, APO AP 97581",24.94,16,93.46,1,845,7.18,8,20.5,4.42,20.0,Approved
"Salazar, Knight and Newman",qstephens@gmail.com,"86670 Lauren Manors Apt. 945, West Davidton, WI 87752",45.94,15,97.62,0,803,14.51,2,19.27,5.35,20.0,Approved
Carroll PLC,garrettsusan@gmail.com,"874 Thomas Lane Apt. 854, Vaughnview, MI 32583",29.82,8,81.0,1,838,4.7,1,19.95,1.35,20.0,Approved
Torres LLC,justinvega@hotmail.com,"2981 Christopher Prairie Suite 855, Haysview, LA 82087",40.19,12,90.34,1,817,11.73,2,23.65,7.98,20.0,Approved
Turner Group,rhonda79@hotmail.com,"9012 Jaime Highway Apt. 513, New Stephanieport, AZ 93833",9.87,3,88.73,3,668,13.13,19,9.84,2.18,10.85,Not Approved
Middleton-Martinez,benjamin61@strong.com,"9140 Collins Isle Suite 812, Port Bradley, LA 05983",32.69,17,81.67,1,843,10.77,1,24.59,4.97,20.0,Approved
Wyatt-Howell,brandon54@yahoo.com,"9757 Gregory Lodge Suite 652, Port Timshire, AK 26245",26.33,16,54.29,3,650,6.08,18,22.85,5.86,5.83,Not Approved
"Rice, Davis and Price",maryhutchinson@miller.com,"USNV Clark, FPO AP 48253",24.45,17,68.02,2,812,5.32,1,5.78,3.18,20.0,Not Approved
Carson-Collins,scott23@johnson-gutierrez.org,"855 Troy Skyway, Gallagherbury, CA 53719",26.78,7,96.16,2,650,10.01,3,7.28,7.08,11.12,Not Approved
Rice and Sons,amanda27@donovan-soto.com,"757 Bean Squares, Wendyborough, TX 64089",45.29,9,81.69,1,827,14.12,2,22.28,7.72,20.0,Approved
Marquez-Thomas,mary11@yahoo.com,"032 Holmes Port Apt. 788, Davisshire, SD 19831",12.2,19,71.56,3,757,13.79,5,14.21,8.31,20.0,Not Approved
Gutierrez-Cortez,johnstonjoseph@hotmail.com,"61294 Jeffrey Ridges Apt. 405, Lake Marie, NM 57792",26.72,10,80.3,1,821,9.52,10,24.13,6.6,20.0,Approved
Michael Group,jthomas@garcia.net,"6126 Karen Road, South Stacey, MT 57771",44.31,14,99.13,0,802,5.39,6,22.54,4.8,20.0,Approved
Moore-Miller,hesterhoward@hotmail.com,"PSC 6637, Box 8426, APO AP 97581",44.48,16,94.87,1,835,7.18,6,18.34,7.4,20.0,Approved
Robinson Inc,ortegagarrett@hotmail.com,"23280 Brittney Station Suite 384, Curryside, LA 58738",16.57,3,78.28,3,827,8.24,17,19.65,7.15,15.79,Not Approved
Cross and Sons,scott00@pacheco-quinn.com,"87359 Christopher Centers, Ritterberg, TN 57875",36.71,8,86.96,1,817,14.03,7,16.55,1.37,20.0,Approved
"Greene, Bauer and Jackson",uweber@hotmail.com,"0925 Jose Camp Apt. 793, Robertsonfort, DE 23771",31.27,10,77.16,3,786,3.79,15,14.73,3.43,13.73,Not Approved
Beard Ltd,tammyroberts@hotmail.com,"91775 Christopher Dam, Thompsonport, MO 23501",23.33,17,80.23,1,815,5.33,6,21.47,3.21,20.0,Approved
Stanley Inc,rodriguezwilliam@gmail.com,"4714 Graham Fork Apt. 205, Petersenberg, ID 50363",25.37,9,89.55,1,840,14.77,5,23.97,6.21,20.0,Approved
"Marquez, Williams and Bradley",brownandrew@hotmail.com,"2587 Roberts Crest, Lake Roy, VT 20232",36.49,12,86.74,1,834,5.8,9,19.77,9.58,20.0,Approved
